Ticker,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,M&M.NS,M&M.NS,M&M.NS,M&M.NS,M&M.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,435.945225034925,440.1990686939243,429.92295623223606,433.31646728515625,5154996,604.3454493095634,606.1924535035355,601.7407161109154,605.5294189453125,3673698,506.21324175077433,511.0578186994165,503.0309696166863,509.7279052734375,2611808,675.9566091562889,680.0087898882745,670.3904712564104,672.2161254882812,14004468,631.5613776708318,635.8577135733544,629.4561625894943,633.1510009765625,2112415,1744.0125532818572,1752.9585464714542,1733.1689519143017,1749.931396484375,543035
2020-01-02,434.0811695494636,439.14752619432306,433.50763432020034,435.1326904296875,4933053,605.7188543538712,609.9811449630853,605.7188543538712,609.38916015625,6137166,510.1078712912817,513.9075574833955,506.7831458731821,512.8151245117188,2776519,673.2849207275859,686.1762083080744,673.2849207275859,683.6602783203125,17710316,634.9126441731436,636.5452206149837,628.0385056083046,631.3037109375,5658200,1753.048906352569,1764.4346658479283,1744.0125717837414,1751.286865234375,663275
2020-01-03,435.6106743610621,438.95636609332547,431.5958383383594,435.037109375,5154587,607.234330313411,608.5603994443895,598.4256076891043,600.6988525390625,10855550,511.96023447457435,512.0077189566775,503.83841676217105,506.0707092285156,1930883,682.6360622006584,686.4878962665452,678.1831277621862,684.4840698242188,20984698,630.6163740719871,642.7320235919697,630.6163740719871,641.0134887695312,7882938,1751.1510422410097,1753.0486501617831,1733.8464420092378,1741.7080078125,1598825
2020-01-06,433.8900183393128,437.2835295157813,425.04780313914694,429.827392578125,7538915,596.720662743602,597.5731439576414,585.3545548818191,587.6987915039062,10890186,503.3634866276051,503.45845559759294,494.43420026140967,498.23388671875,2059404,676.8471984455604,680.3649817308929,667.0507082361115,668.6092529296875,24519177,641.0993785171215,647.7157479073298,632.8504325536925,634.8696899414062,6519403,1741.6180068215253,1743.470499622082,1727.0695295106875,1730.86474609375,683129
2020-01-07,432.07380027996186,435.2283037271959,423.56614243512666,425.47796630859375,4353883,596.1997455707353,602.143238298382,593.0503748607391,597.0048217773438,14724494,502.41356876540345,505.35830260038847,496.85649249287326,500.2762451171875,2111349,676.4019343098523,683.304036115152,673.9528263419015,678.8956298828125,16683622,634.1392102944898,638.0918185403439,623.0546421444718,625.4606323242188,7899363,1734.2985402374443,1744.9162335279432,1733.1689983980295,1735.6087646484375,808935
2020-01-08,423.08813848652034,440.43800949851493,420.93733687278115,438.62176513671875,14118818,590.5403361902679,597.73890607202,587.2726263307592,595.4420166015625,11332110,494.81419771440846,500.0862511380797,493.00932343524204,498.37640380859375,1612378,674.6208587574616,683.2817936051865,672.394391396721,673.7970581054688,16047902,622.9257861994387,626.4058079768749,608.6189659032445,617.125732421875,8639443,1725.9400065864254,1749.4797036785671,1722.732063498574,1743.42529296875,1889685
2020-01-09,447.75077332805074,454.01201994948525,435.2282800851817,439.8166809082031,18180867,599.0886549789353,604.2034270944675,598.1888264645892,602.11962890625,9546316,503.31601057776675,515.2850592849023,499.3738701452697,514.1451416015625,2897598,685.1296647498189,690.2059926741842,681.8567565985553,689.3154296875,14982742,620.1332193947744,628.5540284252443,613.7746204119936,625.159912109375,13521186,1754.4499125204638,1759.6458058754056,1744.916533633444,1748.5762939453125,1544334
2020-01-10,444.3095310104821,445.40884171022856,434.1768458700119,436.8533935546875,37724966,608.1340427397233,609.4601116176075,603.871752817819,607.4710083007812,9214580,516.8523078692426,520.1770333952717,512.2452114031901,519.2271118164062,2355888,691.0520831577536,693.7461255846073,685.5972357997355,689.1596069335938,12478359,636.2445540339635,638.349769643852,627.6948329522857,634.2682495117188,9341405,1753.862252513372,1768.8625462980085,1745.5036427799075,1765.6998291015625,1003336
2020-01-13,438.7651599810213,449.56701777468317,434.2245785284127,448.2287292480469,15206224,607.4711334974987,614.0066691824288,604.2981179149859,609.0339965820312,7451568,521.4119825733441,529.1063242406955,519.2271165391908,527.1589965820312,3442869,688.0018555733295,694.0800969009713,685.0406443123888,687.4006958007812,18282382,653.0432766130999,668.0804573245858,648.7469392669611,664.6863403320312,36952038,1772.0254290665828,1805.3243040277066,1768.4108947900572,1802.6134033203125,2040089
2020-01-14,448.22873872807065,451.8134380916676,446.03014729060953,448.6589050292969,8238486,610.4547343969623,612.1359943771557,605.0084741599063,610.6915283203125,7886290,527.1590356951157,535.5183346896702,527.1590356951157,534.3309326171875,2793249,685.7531846503401,690.2061193009722,677.6711159879618,681.0330810546875,15816535,661.592888406991,667.607759691393,659.2299032595474,666.49072265625,11414418,1803.2005033698772,1820.7761294002678,1791.3629275389096,1815.2188720703125,1610737
2020-01-15,448.80227252512975,451.19205212155697,444.50063953163044,447.2250061035156,10875259,609.2233033667563,609.9573297049485,603.3981508197825,608.205078125,11787448,533.8560022385093,542.4052976480227,528.8214287597419,541.2178955078125,2564513,683.9052640096224,685.7086841864183,676.068070171922,678.5617065429688,15817859,664.944013428589,664.944013428589,654.8906274563863,659.5306396484375,6047430,1817.342415284334,1831.6649832498629,1804.8722296870894,1826.83056640625,1559491
2020-01-16,448.5155398634431,455.92388740041446,447.36846926772057,453.00836181640625,16290593,607.163288419645,611.4018762888768,605.8845666176381,609.8153686523438,7150400,540.7429285214821,541.2653738615278,535.8033240784825,539.0330810546875,2243200,680.8549279318096,687.244866778881,680.4095869331176,684.8179931640625,12847975,662.2372213957256,663.7838918196021,653.2578689396148,659.0579223632812,5740586,1827.1468621570773,1856.695632273982,1821.815402664098,1851.7708740234375,2468958
2020-01-17,454.1554556261133,481.59022405933644,454.1554556261133,478.00555419921875,61915666,607.0211275637845,608.512940609759,602.3562995656167,605.3162231445312,16918814,538.4154795196591,545.254925723762,536.848143875735,540.790283203125,2646260,691.7645940988411,705.7690846391494,691.6310096398801,704.0101928710938,29463471,662.2373344441845,664.127733038518,654.976515096355,659.7883911132812,3762957,1856.9666801911935,1865.008929392799,1843.457404669706,1861.7559814453125,994719
2020-01-20,477.0017888803566,490.09784722019873,472.4612073810165,486.274169921875,45298836,617.9610470531414,617.9610470531414,593.1687365718038,594.3053588867188,22178450,540.5053794762836,545.2549873802931,536.0882209341098,538.7955322265625,1847978,716.4784286658733,716.4784286658733,679.6971043882497,682.3466186523438,32545850,663.0106768415801,665.416667416314,655.5780456130107,660.3040161132812,3887680,1861.9367978671708,1875.8526653058454,1852.4486462643533,1864.0604248046875,829399
