date,close,high,low,open,volume,close_sector,US Dollar,Pound Sterling,Euro,Japanese Yen,Central Government Dated Securities,State Government Dated Securities,91-Day,182-Day,364-Day,RBI,return,return_pct,sector_return,sector_return_pct,target_raw_return,target_residualized,Revenue,Net_Income,Profit_Margin,Revenue_Growth,Profit_Growth,volume_z,high_volume
2020-01-01,173.39523315429688,173.7593465411721,172.66698330033677,173.7593465411721,4370931,,,,,,,,,,,,,,,,,,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,,0
2020-01-02,174.66964721679688,175.47072664526544,173.3952273253654,173.46804538425064,8726602,30266.19921875,,,,,,,,,,,1.2744140625,0.0073497641158679,,,1.2744140625,,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,,0
2020-01-03,173.68649291992188,175.50710564197192,173.32236806749137,175.50710564197192,9642051,30109.25,,,,,,,,,,,-0.983154296875,-0.0056286499259641,-156.94921875,-0.0051856269634533,-0.983154296875,-0.0004430229625107,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,,0
2020-01-06,171.21047973632812,173.5408652113135,171.13765014143945,172.95826307251528,7930726,29799.30078125,,,,,,,,,,,-2.47601318359375,-0.0142556461470801,-309.94921875,-0.0102941527520612,-2.47601318359375,-0.0039614933950189,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,,0
2020-01-07,171.39251708984375,173.24953883894318,170.84633558012067,171.90228957627926,8740894,29861.80078125,,,,,,,,,,,0.182037353515625,0.0010632372141936,62.5,0.0020973646482109,0.182037353515625,-0.0010341274340173,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,,0
2020-01-08,170.55503845214844,171.72023104555504,169.8631977766211,170.40939082048538,7314466,29893.19921875,,,,,,,,,,,-0.8374786376953125,-0.0048863197292113,31.3984375,0.0010514582737326,-0.8374786376953125,-0.005937778002944,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,,0
2020-01-09,171.72024536132812,172.30283593654897,171.17405227192944,171.5745861774196,9816703,30123.599609375,,,,,,,,,,,1.1652069091796875,0.0068318527541277,230.400390625,0.0077074517497774,1.1652069091796875,-0.0008755989956497,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,,0
2020-01-10,173.32237243652344,173.86855395888583,172.44847507668192,173.03107716327716,10357864,30370.44921875,,,,,,,,,,,1.6021270751953125,0.0093298671442272,246.849609375,0.0081945588367924,1.6021270751953125,0.0011353083074348,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,,0
2020-01-13,174.23268127441406,175.14298767120655,173.5044315409389,173.68649974435914,12715178,30713.44921875,,,,,,,,,,,0.910308837890625,0.0052521138794359,343.0,0.0112938731175644,0.910308837890625,-0.0060417592381285,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,,0
2020-01-14,177.1456756591797,177.5462211325638,173.54087025965958,174.96094931041748,12299570,31145.400390625,,,,,,,,,,,2.912994384765625,0.016718989591727,431.951171875,0.0140639095530599,2.912994384765625,0.0026550800386671,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,,0
2020-01-15,176.5266571044922,176.96360001941585,175.5799301453366,176.63589571824883,5687654,31237.099609375,,,,,,,,,,,-0.6190185546875,-0.003494403983524,91.69921875,0.0029442298894832,-0.6190185546875,-0.0064386338730073,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,,0
2020-01-16,175.32504272460938,177.6190189778992,174.8516907882897,176.59947397643705,9730522,31338.19921875,,,,,,,,,,,-1.2016143798828125,-0.0068069854128124,101.099609375,0.0032365235773892,-1.2016143798828125,-0.0100435089902016,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,,0
2020-01-17,174.74244689941406,176.3081733786432,174.34191302380447,175.3250374311726,7677106,31371.44921875,,,,,,,,,,,-0.5825958251953125,-0.0033229470025591,33.25,0.0010610054447579,-0.5825958251953125,-0.0043839524473171,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,,0
2020-01-20,176.16253662109375,177.14566108915508,174.8152757380497,174.8152757380497,8329721,31426.75,,,,,,,,,,,1.4200897216796875,0.0081267588206379,55.30078125,0.0017627741984245,1.4200897216796875,0.0063639846222134,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,,0
2020-01-21,173.65011596679688,175.8348424046551,173.32240007705542,175.8348424046551,9939680,31145.94921875,,,,,,,,,,,-2.512420654296875,-0.014261946396133,-280.80078125,-0.0089350881414718,-2.512420654296875,-0.0053268582546612,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,,0
2020-01-22,173.3588104248047,174.4875942223554,172.66698115023087,174.4875942223554,7949731,31153.150390625,,,,,,,,,,,-0.2913055419921875,-0.0016775430316895,7.201171875,0.0002312073337185,-0.2913055419921875,-0.001908750365408,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,,0
2020-01-23,173.24957275390625,173.8685839714832,172.5213344450846,173.3952319557753,6356150,31226.900390625,,,,,,,,,,,-0.1092376708984375,-0.0006301247143468,73.75,0.0023673368206829,-0.1092376708984375,-0.0029974615350297,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,,0
2020-01-24,173.43161010742188,174.12343926265137,172.59412177625737,172.88542858802478,7063834,31474.900390625,,,,,,,,,,,0.182037353515625,0.0010507232463667,248.0,0.0079418705314233,0.182037353515625,-0.0068911472850565,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,,0
2020-01-27,170.8463592529297,172.8854494812122,170.62788200272684,172.59414263424034,7100949,31149.69921875,,,,,,,,,,,-2.5852508544921875,-0.0149064570921696,-325.201171875,-0.0103320794613813,-2.5852508544921875,-0.0045743776307882,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,,0
2020-01-28,168.0426025390625,171.7930669495869,167.86054586558413,170.95559009544138,15144538,31027.05078125,,,,,,,,,,,-2.8037567138671875,-0.0164109830969026,-122.6484375,-0.0039373875374749,-2.8037567138671875,-0.0124735955594277,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,2.5017988848369304,1
2020-01-29,172.33926391601562,173.06751375523652,168.3339244206144,168.58881071033127,21258057,31426.25,,,,,,,,,,,4.296661376953125,0.0255688814147849,399.19921875,0.0128661670606231,4.296661376953125,0.0127027143541618,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,3.253123523717876,1
2020-01-30,170.44581604003906,172.5941332363412,169.68115724606946,172.55772420999125,10794458,30936.44921875,,,,,,,,,,,-1.8934478759765625,-0.0109867469139202,-489.80078125,-0.0155857215305675,-1.8934478759765625,0.0045989746166473,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,0.281699012668018,0
2020-01-31,171.24688720703125,173.61368168789414,170.44581937105644,171.68383015208013,19166671,30775.30078125,,,,,,,,,,,0.8010711669921875,0.0046998582048152,-161.1484375,-0.0052090153062016,0.8010711669921875,0.0099088735110168,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,2.15576395802808,1
2020-02-03,151.18370056152344,157.9563901444777,149.29026989368396,156.57272039482436,82836335,30435.30078125,,,,,,,,,,,-20.06318664550781,-0.1171594238746783,-340.0,-0.011047820536888,-20.06318664550781,-0.1061116033377903,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,4.119220484714992,1
2020-02-04,157.0460968017578,158.46616414986522,152.31249666102292,153.514098323323,37145337,30744.0,,,,,,,,,,,5.862396240234375,0.0387766420484507,308.69921875,0.010142801642367,5.862396240234375,0.0286338404060837,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,1.2457943807902336,0
2020-02-05,157.62869262695312,158.39335140313085,154.02387597928762,157.51945401034158,22072147,30934.400390625,,,,,,,,,,,0.5825958251953125,0.0037097122250082,190.400390625,0.006193091029957,0.5825958251953125,-0.0024833788049487,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,0.3395120722283896,0
2020-02-06,155.51678466796875,160.14113481524674,154.24235337301306,158.75747644366902,28443398,30736.599609375,,,,,,,,,,,-2.111907958984375,-0.0133979919758799,-197.80078125,-0.0063942012372072,-2.111907958984375,-0.0070037907386727,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,0.64733068864565,0
2020-02-07,155.40756225585938,157.08252762672367,154.93419871405936,155.69885757076506,17793265,30809.5,,,,,,,,,,,-0.109222412109375,-0.000702319124862,72.900390625,0.0023717779959877,-0.109222412109375,-0.0030740971208498,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,0.0182304521672112,0
2020-02-10,153.33203125,155.8808935788651,152.96790641157614,155.84447301695133,9987781,30528.44921875,,,,,,,,,,,-2.075531005859375,-0.0133554054624591,-281.05078125,-0.0091222116960677,-2.075531005859375,-0.0042331937663914,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,-0.4201607932674284,0
2020-02-11,154.82496643066406,157.99284061542204,154.24237577697815,157.66512471764506,30951617,30414.55078125,,,,,,,,,,,1.4929351806640625,0.0097366164688048,-113.8984375,-0.0037308949656716,1.4929351806640625,0.0134675114344765,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,0.7160336105437364,0
2020-02-12,155.1526641845703,156.42709551560472,154.24235773956053,155.4075504507772,10310789,30986.25,,,,,,,,,,,0.32769775390625,0.0021165691907512,571.69921875,0.0187968983287578,0.32769775390625,-0.0166803291380066,13220.3,4047.87,30.61859413175193,1.110198437645793,18.404125556865345,-0.4663557563980185,0
