Ticker,Date,sentiment_mean,pos_count,neg_count,neutral_count,headline_volume,sentiment_mean_lag1,sentiment_mean_lag2,sentiment_mean_lag3,headline_volume_lag1
RELIANCE,2020-01-02,0.8816445469856262,1.0,0.0,0.0,1.0,0.9195050001144409,,,1.0
RELIANCE,2020-01-03,0.0,0.0,0.0,1.0,1.0,0.8816445469856262,0.9195050001144409,,1.0
RELIANCE,2020-01-06,0.0,0.0,0.0,1.0,0.0,0.0,0.8816445469856262,0.9195050001144409,1.0
RELIANCE,2020-01-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8816445469856262,0.0
RELIANCE,2020-01-08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RELIANCE,2020-01-09,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RELIANCE,2020-01-10,0.7947338223457336,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RELIANCE,2020-01-13,0.7947338223457336,1.0,0.0,0.0,0.0,0.7947338223457336,0.0,0.0,1.0
RELIANCE,2020-01-14,0.7947338223457336,1.0,0.0,0.0,0.0,0.7947338223457336,0.7947338223457336,0.0,0.0
RELIANCE,2020-01-15,-0.9640771746635437,0.0,1.0,0.0,1.0,0.7947338223457336,0.7947338223457336,0.7947338223457336,0.0
RELIANCE,2020-01-16,-0.9640771746635437,0.0,1.0,0.0,0.0,-0.9640771746635437,0.7947338223457336,0.7947338223457336,1.0
RELIANCE,2020-01-17,0.0,0.0,0.0,1.0,1.0,-0.9640771746635437,-0.9640771746635437,0.7947338223457336,0.0
RELIANCE,2020-01-20,-0.9689370393753052,0.0,2.0,0.0,2.0,0.0,-0.9640771746635437,-0.9640771746635437,1.0
RELIANCE,2020-01-21,-0.9689370393753052,0.0,2.0,0.0,0.0,-0.9689370393753052,0.0,-0.9640771746635437,2.0
RELIANCE,2020-01-22,0.0,0.0,0.0,1.0,1.0,-0.9689370393753052,-0.9689370393753052,0.0,0.0
RELIANCE,2020-01-23,0.0,0.0,0.0,1.0,0.0,0.0,-0.9689370393753052,-0.9689370393753052,1.0
RELIANCE,2020-01-24,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.9689370393753052,0.0
RELIANCE,2020-01-27,-0.4850243628025055,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
RELIANCE,2020-01-28,0.0,0.0,0.0,1.0,1.0,-0.4850243628025055,0.0,0.0,2.0
RELIANCE,2020-01-29,0.0,0.0,0.0,1.0,0.0,0.0,-0.4850243628025055,0.0,1.0
RELIANCE,2020-01-30,-0.9687370657920837,0.0,1.0,0.0,1.0,0.0,0.0,-0.4850243628025055,0.0
RELIANCE,2020-01-31,-0.9687370657920837,0.0,1.0,0.0,0.0,-0.9687370657920837,0.0,0.0,1.0
RELIANCE,2020-02-03,-0.9687370657920837,0.0,1.0,0.0,0.0,-0.9687370657920837,-0.9687370657920837,0.0,0.0
RELIANCE,2020-02-04,-0.9687370657920837,0.0,1.0,0.0,0.0,-0.9687370657920837,-0.9687370657920837,-0.9687370657920837,0.0
RELIANCE,2020-02-05,-0.8741665482521057,0.0,1.0,0.0,1.0,-0.9687370657920837,-0.9687370657920837,-0.9687370657920837,0.0
RELIANCE,2020-02-06,-0.8741665482521057,0.0,1.0,0.0,0.0,-0.8741665482521057,-0.9687370657920837,-0.9687370657920837,1.0
RELIANCE,2020-02-07,0.46294280886650085,1.0,0.0,1.0,2.0,-0.8741665482521057,-0.8741665482521057,-0.9687370657920837,0.0
RELIANCE,2020-02-10,0.46294280886650085,1.0,0.0,1.0,0.0,0.46294280886650085,-0.8741665482521057,-0.8741665482521057,2.0
RELIANCE,2020-02-11,0.519584059715271,1.0,0.0,0.0,1.0,0.46294280886650085,0.46294280886650085,-0.8741665482521057,0.0
RELIANCE,2020-02-12,0.519584059715271,1.0,0.0,0.0,0.0,0.519584059715271,0.46294280886650085,0.46294280886650085,1.0
RELIANCE,2020-02-13,0.519584059715271,1.0,0.0,0.0,0.0,0.519584059715271,0.519584059715271,0.46294280886650085,0.0
RELIANCE,2020-02-14,0.0,0.0,0.0,1.0,1.0,0.519584059715271,0.519584059715271,0.519584059715271,0.0
RELIANCE,2020-02-17,0.0,0.0,0.0,1.0,0.0,0.0,0.519584059715271,0.519584059715271,1.0
RELIANCE,2020-02-18,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.519584059715271,0.0
RELIANCE,2020-02-19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
RELIANCE,2020-02-20,-0.9684832692146301,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
RELIANCE,2020-02-24,0.3420933485031128,1.0,0.0,1.0,2.0,-0.9684832692146301,0.0,0.0,1.0
RELIANCE,2020-02-25,0.3420933485031128,1.0,0.0,1.0,0.0,0.3420933485031128,-0.9684832692146301,0.0,2.0
RELIANCE,2020-02-26,0.3420933485031128,1.0,0.0,1.0,0.0,0.3420933485031128,0.3420933485031128,-0.9684832692146301,0.0
RELIANCE,2020-02-27,0.3420933485031128,1.0,0.0,1.0,0.0,0.3420933485031128,0.3420933485031128,0.3420933485031128,0.0
RELIANCE,2020-02-28,0.0,0.0,0.0,1.0,1.0,0.3420933485031128,0.3420933485031128,0.3420933485031128,0.0
RELIANCE,2020-03-02,0.0,0.0,0.0,1.0,0.0,0.0,0.3420933485031128,0.3420933485031128,1.0
RELIANCE,2020-03-03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3420933485031128,0.0
RELIANCE,2020-03-04,-0.5997961163520813,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
RELIANCE,2020-03-05,-0.5997961163520813,0.0,1.0,0.0,0.0,-0.5997961163520813,0.0,0.0,1.0
RELIANCE,2020-03-06,-0.5997961163520813,0.0,1.0,0.0,0.0,-0.5997961163520813,-0.5997961163520813,0.0,0.0
RELIANCE,2020-03-09,-0.5997961163520813,0.0,1.0,0.0,0.0,-0.5997961163520813,-0.5997961163520813,-0.5997961163520813,0.0
RELIANCE,2020-03-11,0.0,0.0,0.0,1.0,1.0,-0.5997961163520813,-0.5997961163520813,-0.5997961163520813,0.0
RELIANCE,2020-03-12,-0.972440242767334,0.0,1.0,0.0,1.0,0.0,-0.5997961163520813,-0.5997961163520813,1.0
RELIANCE,2020-03-13,-0.972440242767334,0.0,1.0,0.0,0.0,-0.972440242767334,0.0,-0.5997961163520813,1.0
RELIANCE,2020-03-16,0.0,0.0,0.0,1.0,1.0,-0.972440242767334,-0.972440242767334,0.0,0.0
RELIANCE,2020-03-17,0.8789113759994507,1.0,0.0,0.0,1.0,0.0,-0.972440242767334,-0.972440242767334,1.0
RELIANCE,2020-03-18,0.8789113759994507,1.0,0.0,0.0,0.0,0.8789113759994507,0.0,-0.972440242767334,1.0
RELIANCE,2020-03-19,0.8789113759994507,1.0,0.0,0.0,0.0,0.8789113759994507,0.8789113759994507,0.0,0.0
RELIANCE,2020-03-20,-0.479267418384552,0.0,1.0,1.0,2.0,0.8789113759994507,0.8789113759994507,0.8789113759994507,0.0
RELIANCE,2020-03-23,-0.479267418384552,0.0,1.0,1.0,0.0,-0.479267418384552,0.8789113759994507,0.8789113759994507,2.0
RELIANCE,2020-03-24,-0.479267418384552,0.0,1.0,1.0,0.0,-0.479267418384552,-0.479267418384552,0.8789113759994507,0.0
RELIANCE,2020-03-25,0.9207548499107361,1.0,0.0,0.0,1.0,-0.479267418384552,-0.479267418384552,-0.479267418384552,0.0
RELIANCE,2020-03-26,0.0,0.0,0.0,1.0,1.0,0.9207548499107361,-0.479267418384552,-0.479267418384552,1.0
RELIANCE,2020-03-27,0.0,0.0,0.0,1.0,0.0,0.0,0.9207548499107361,-0.479267418384552,1.0
RELIANCE,2020-03-30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9207548499107361,0.0
RELIANCE,2020-03-31,0.9263769388198853,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RELIANCE,2020-04-01,0.9263769388198853,1.0,0.0,0.0,0.0,0.9263769388198853,0.0,0.0,1.0
RELIANCE,2020-04-03,0.9263769388198853,1.0,0.0,0.0,0.0,0.9263769388198853,0.9263769388198853,0.0,0.0
RELIANCE,2020-04-07,0.9263769388198853,1.0,0.0,0.0,0.0,0.9263769388198853,0.9263769388198853,0.9263769388198853,0.0
RELIANCE,2020-04-08,0.9263769388198853,1.0,0.0,0.0,0.0,0.9263769388198853,0.9263769388198853,0.9263769388198853,0.0
RELIANCE,2020-04-09,0.0,0.0,0.0,1.0,1.0,0.9263769388198853,0.9263769388198853,0.9263769388198853,0.0
RELIANCE,2020-04-13,0.0,0.0,0.0,1.0,0.0,0.0,0.9263769388198853,0.9263769388198853,1.0
RELIANCE,2020-04-15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9263769388198853,0.0
RELIANCE,2020-04-16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RELIANCE,2020-04-17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RELIANCE,2020-04-20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RELIANCE,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RELIANCE,2020-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RELIANCE,2020-04-23,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
RELIANCE,2020-04-24,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
RELIANCE,2020-04-27,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RELIANCE,2020-04-28,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RELIANCE,2020-04-29,0.7647298574447632,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RELIANCE,2020-04-30,0.7647298574447632,1.0,0.0,0.0,0.0,0.7647298574447632,0.0,0.0,1.0
RELIANCE,2020-05-04,-0.47913721203804016,0.0,1.0,1.0,2.0,0.7647298574447632,0.7647298574447632,0.0,0.0
RELIANCE,2020-05-05,0.0,0.0,0.0,1.0,1.0,-0.47913721203804016,0.7647298574447632,0.7647298574447632,2.0
RELIANCE,2020-05-06,-0.9625530242919922,0.0,1.0,0.0,1.0,0.0,-0.47913721203804016,0.7647298574447632,1.0
RELIANCE,2020-05-07,-0.8459800481796265,0.0,1.0,0.0,1.0,-0.9625530242919922,0.0,-0.47913721203804016,1.0
RELIANCE,2020-05-08,0.0,0.0,0.0,1.0,1.0,-0.8459800481796265,-0.9625530242919922,0.0,1.0
RELIANCE,2020-05-11,0.0,0.0,0.0,1.0,0.0,0.0,-0.8459800481796265,-0.9625530242919922,1.0
RELIANCE,2020-05-12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.8459800481796265,0.0
RELIANCE,2020-05-13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RELIANCE,2020-05-14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RELIANCE,2020-05-15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RELIANCE,2020-05-18,-0.9668142199516296,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
