date,Revenue,Net_Income,EPS,Total_Debt,Total_Equity,Net_Debt,symbol,yf_ticker
2018-09-30,1433230.0,95160.0,7.96,2341160.0,3102380.0,2300550.0,RELIANCE,RELIANCE.NS
2018-12-31,1568980.0,102510.0,8.57,0.0,3102380.0,0.0,RELIANCE,RELIANCE.NS
2019-03-31,1386590.0,103620.0,8.04,2875050.0,3953920.0,2764240.0,RELIANCE,RELIANCE.NS
2019-06-30,1579800.0,101040.0,8.47,0.0,3953920.0,0.0,RELIANCE,RELIANCE.NS
2019-09-30,1497610.0,112620.0,9.2,2521900.0,4138320.0,2394090.0,RELIANCE,RELIANCE.NS
2019-12-31,1533020.0,116400.0,9.12,0.0,4138320.0,0.0,RELIANCE,RELIANCE.NS
2020-03-31,1368220.0,63480.0,4.89,3449910.0,4613470.0,3140710.0,RELIANCE,RELIANCE.NS
2020-06-30,882530.0,132330.0,10.32,0.0,4613470.0,0.0,RELIANCE,RELIANCE.NS
2020-09-30,1112360.0,95670.0,7.34,2552410.0,6634270.0,2393670.0,RELIANCE,RELIANCE.NS
2020-12-31,1178600.0,131010.0,9.97,0.0,6634270.0,0.0,RELIANCE,RELIANCE.NS
2021-03-31,1495750.0,132270.0,10.18,2601250.0,7994320.0,2427280.0,RELIANCE,RELIANCE.NS
2021-06-30,1399490.0,122730.0,9.32,0.0,7994320.0,0.0,RELIANCE,RELIANCE.NS
2021-09-30,1676110.0,136800.0,10.3,2639180.0,8456110.0,2448440.0,RELIANCE,RELIANCE.NS
2021-12-31,1850270.0,185490.0,13.88,0.0,8456110.0,0.0,RELIANCE,RELIANCE.NS
2022-03-31,2073750.0,162030.0,11.95,2819740.0,8889840.0,2457960.0,RELIANCE,RELIANCE.NS
2022-06-30,2188550.0,179550.0,13.27,0.0,8889840.0,0.0,RELIANCE,RELIANCE.NS
2022-09-30,2294090.0,136560.0,10.1,3160300.0,9027650.0,2677720.0,RELIANCE,RELIANCE.NS
2022-12-31,2167370.0,157920.0,11.67,0.0,9027650.0,0.0,RELIANCE,RELIANCE.NS
2023-03-31,2113120.0,192990.0,14.26,3343920.0,8288810.0,2657280.0,RELIANCE,RELIANCE.NS
2023-06-30,2075590.0,160110.0,11.83,0.0,9341620.0,0.0,RELIANCE,RELIANCE.NS
2023-09-30,2318860.0,173940.0,12.86,3166970.0,8772750.0,2478700.0,RELIANCE,RELIANCE.NS
2023-12-31,2250860.0,172650.0,12.76,0.0,8772750.0,0.0,RELIANCE,RELIANCE.NS
2024-03-31,2365330.0,189510.0,14.01,3461420.0,9257880.0,2649630.0,RELIANCE,RELIANCE.NS
2024-06-30,2317840.0,151380.0,11.19,0.0,9257880.0,0.0,RELIANCE,RELIANCE.NS
2024-09-29,2315350.0,165630.0,12.24,3575250.0,9543240.0,2671720.0,RELIANCE,RELIANCE.NS
2024-12-31,2399860.0,185400.0,13.7,0.0,9543240.0,0.0,RELIANCE,RELIANCE.NS
2025-03-31,2613880.0,194070.0,14.34,3695750.0,10096260.0,3172330.0,RELIANCE,RELIANCE.NS
2025-06-30,2436320.0,269940.0,19.95,0.0,10096260.0,0.0,RELIANCE,RELIANCE.NS
2025-09-30,2546230.0,181650.0,13.42,3745930.0,10507270.0,2630930.0,RELIANCE,RELIANCE.NS
2025-12-31,2649050.0,186450.0,13.78,,,,RELIANCE,RELIANCE.NS
