date,Revenue,Net_Income,EPS,Total_Debt,Total_Equity,Net_Debt,symbol,yf_ticker
2018-06-30,97780.0,15650.0,7.23,0.0,73010.0,62160.0,HUL,HINDUNILVR.NS
2018-09-30,94900.0,14780.0,6.83,,,,HUL,HINDUNILVR.NS
2018-12-31,98410.0,14400.0,6.65,,,,HUL,HINDUNILVR.NS
2019-03-31,106730.0,15700.0,6.68,990.0,78850.0,-5220.0,HUL,HINDUNILVR.NS
2019-06-30,103640.0,17920.0,8.27,0.0,78850.0,63180.0,HUL,HINDUNILVR.NS
2019-09-30,101050.0,18140.0,8.38,790.0,80580.0,-22410.0,HUL,HINDUNILVR.NS
2019-12-31,101030.0,16270.0,7.51,0.0,80580.0,78160.0,HUL,HINDUNILVR.NS
2020-03-31,92110.0,15150.0,6.45,8420.0,82460.0,-23740.0,HUL,HINDUNILVR.NS
2020-06-30,107310.0,18980.0,8.08,0.0,82460.0,67720.0,HUL,HINDUNILVR.NS
2020-09-30,116830.0,19740.0,8.4,1870.0,468460.0,-18270.0,HUL,HINDUNILVR.NS
2020-12-31,121810.0,19370.0,8.24,0.0,468460.0,55930.0,HUL,HINDUNILVR.NS
2021-03-31,124330.0,21860.0,9.3,10090.0,476940.0,-8330.0,HUL,HINDUNILVR.NS
2021-06-30,121940.0,20970.0,8.92,0.0,476940.0,69700.0,HUL,HINDUNILVR.NS
2021-09-30,130460.0,21810.0,9.28,11290.0,479850.0,-13850.0,HUL,HINDUNILVR.NS
2021-12-31,134390.0,22970.0,9.78,0.0,479850.0,68130.0,HUL,HINDUNILVR.NS
2022-03-31,137670.0,23040.0,9.81,10430.0,490870.0,-1040.0,HUL,HINDUNILVR.NS
2022-06-30,146240.0,23810.0,10.13,0.0,490870.0,71420.0,HUL,HINDUNILVR.NS
2022-09-30,151440.0,26650.0,11.35,11390.0,496400.0,-14590.0,HUL,HINDUNILVR.NS
2022-12-31,155970.0,24740.0,10.53,0.0,496400.0,74860.0,HUL,HINDUNILVR.NS
2023-03-31,152150.0,26000.0,11.07,12190.0,505220.0,5050.0,HUL,HINDUNILVR.NS
2023-06-30,154960.0,25540.0,10.87,0.0,505220.0,72650.0,HUL,HINDUNILVR.NS
2023-09-30,156230.0,26560.0,11.3,12720.0,505850.0,-62990.0,HUL,HINDUNILVR.NS
2023-12-31,155670.0,25090.0,10.68,0.0,505850.0,121780.0,HUL,HINDUNILVR.NS
2024-03-31,152100.0,25580.0,10.89,14840.0,514230.0,6590.0,HUL,HINDUNILVR.NS
2024-06-30,157070.0,26100.0,11.11,0.0,514230.0,118890.0,HUL,HINDUNILVR.NS
2024-09-30,159260.0,25910.0,11.03,16510.0,509870.0,-69920.0,HUL,HINDUNILVR.NS
2024-12-31,158180.0,29840.0,12.7,0.0,509870.0,0.0,HUL,HINDUNILVR.NS
2025-03-31,156700.0,24640.0,10.49,16480.0,496090.0,-44230.0,HUL,HINDUNILVR.NS
2025-06-30,165140.0,27560.0,11.73,0.0,496090.0,0.0,HUL,HINDUNILVR.NS
2025-09-30,162410.0,26850.0,11.43,17750.0,491620.0,-26670.0,HUL,HINDUNILVR.NS
2025-12-31,162350.0,66070.0,28.12,,,,HUL,HINDUNILVR.NS
