date,Revenue,Net_Income,EPS,Total_Debt,Total_Equity,Net_Debt,symbol,yf_ticker
2017-09-30,226864.56211853027,20261.600189208984,18.30080017089844,,,,M&M,M&M.NS
2017-12-31,224473.23559570312,36002.84201049805,33.312238159179685,,,,M&M,M&M.NS
2018-03-31,240090.75549316406,9949.589813232422,9.104199829101564,558979.0,450257.0,514313.0,M&M,M&M.NS
2018-06-30,262940.98558044434,17061.581481933594,15.82324089050293,,,,M&M,M&M.NS
2018-09-30,261817.5390472412,16340.79931640625,15.319499359130859,,,,M&M,M&M.NS
2018-12-31,262209.37728881836,13634.887619018555,12.586050109863281,,,,M&M,M&M.NS
2019-03-31,270911.0,5907.5,5.5600000000000005,708483.0,483440.0,647093.0,M&M,M&M.NS
2019-06-30,263573.6383972168,9150.899597167969,8.318999633789062,,,,M&M,M&M.NS
2019-09-30,239695.59020996094,3454.4364471435547,2.8199481201171874,641704.0,492250.0,586702.0,M&M,M&M.NS
2019-12-31,256434.34524536133,1996.7079162597656,2.1393299102783203,,,,M&M,M&M.NS
2020-03-31,4373.200088500977,-13195.000267028809,15.080000305175782,825670.0,476611.0,778220.0,M&M,M&M.NS
2020-06-30,166842.79327392578,-984.0999603271484,-0.7569999694824219,,,,M&M,M&M.NS
2020-09-30,239848.56396484375,1329.2100219726562,1.4769000244140624,703694.0,492328.0,627691.0,M&M,M&M.NS
2020-12-31,218451.26602172852,7020.8642578125,15.358140563964843,,,,M&M,M&M.NS
2021-03-31,216149.5097808838,10723.013397216797,13.954606475830078,806248.0,506522.0,772502.0,M&M,M&M.NS
2021-06-30,193296.3291015625,4234.39306640625,3.7143798828125,,,,M&M,M&M.NS
2021-09-30,217391.84589385986,19323.719635009766,17.094059677124026,789802.0,520219.0,751150.0,M&M,M&M.NS
2021-12-31,237509.95320129395,19873.12989807129,17.863487548828125,,,,M&M,M&M.NS
2022-03-31,260620.13806915283,22369.20009613037,19.715227203369142,776052.0,568253.0,741176.0,M&M,M&M.NS
2022-06-30,285927.43981933594,21933.727447509766,19.72457504272461,,,,M&M,M&M.NS
2022-09-30,300500.44708251953,27703.40347290039,24.44417953491211,832729.0,605690.0,793586.0,M&M,M&M.NS
2022-12-31,314939.04360961914,27252.747329711914,24.022178497314453,,,,M&M,M&M.NS
2023-03-31,326185.2945022583,26354.26114654541,23.809145584106442,922469.0,670821.0,887534.0,M&M,M&M.NS
2023-06-30,342172.3480453491,35128.2717590332,31.18865249633789,,,,M&M,M&M.NS
2023-09-30,350408.919342041,23460.426223754883,20.798250198364258,997117.0,710435.0,959582.0,M&M,M&M.NS
2023-12-31,352183.0,26584.0,23.76,0.0,710435.0,0.0,M&M,M&M.NS
2024-03-31,353971.0,27541.0,24.59,1090029.0,775093.0,1044728.0,M&M,M&M.NS
2024-06-30,372177.0,32826.0,29.32,0.0,775093.0,0.0,M&M,M&M.NS
2024-09-30,376890.0,31707.0,28.31,1192248.0,818495.0,1029172.0,M&M,M&M.NS
2024-12-31,414650.0,31806.0,28.4,,,,M&M,M&M.NS
2025-02-01,,,,5706.0,818495.0,4400.0,M&M,M&M.NS
2025-03-31,427752.0,32952.0,29.03,1249493.0,890980.0,1200254.0,M&M,M&M.NS
2025-06-30,454359.0,40833.0,36.43,,,,M&M,M&M.NS
2025-08-02,,,,5481.0,15551.0,4652.0,M&M,M&M.NS
2025-09-30,458854.0,36733.0,32.8,1297657.0,980915.0,1075004.0,M&M,M&M.NS
2025-12-31,515800.0,46746.0,41.69,,,,M&M,M&M.NS
